Animal,Fruta,Objeto,Cidade,País
CACHORRO,BANANA,BORRACHA,CAMPINAS,BRASIL
GATO,LARANJA,PRATO,BELO HORIZONTE,ESTADOS UNIDOS
CAVALO,UVA,MOCIHLA,PIRACICABA,PORTUGAL
ELEFANTE,MEXIRICA,CANETA,HOLAMBRA,HOLANDA
RATO,MORANGO,LOUSA,FORTALEZA,CHINA
ANDORINHA,UVA VERDE,GARFO,SALVADOR,ESPANHA
ORNITORRINCO,CARAMBOLA,ESCOVA,GUARULHOS,DINAMARCA
PATO,FIGO,COPO,RIO BRANCO,ARGENTINA
GANSO,FRAMBOESA,PAPEL,CURITIBA,ANGOLA
ZEBRA,CAJU,CADEIRA,RIO DE JANEIRO,CHILE
GIRAFA,MANGA,CANETA,PINDAMONHANGABA,CUBA
FLAMINGO,CANA,TELEFONE,MANAUS,HUNGRIA
FOCA,AMORA,CAMISETA,RECIFE,IRLANDA
TIGRE,CAQUI,CAIXA,NATAL,JAMAICA
LOBO,TOMATE,CORDA,SOROCABA,NORUEGA
ANTA,ABACAXI,ALARME,PORTO ALEGRE,ALEMANHA
AVESTRUZ,AMEIXA,VENTILADOR,CAMPO GRANDE,BAHAMAS
CORVO,ABACATE,ALICATE,DUQUE DE CAXIAS,CABO VERDE
CORUJA,CEREJA,ADAPTADOR,LONDRINA,CAMBOJA
BURRO,GOIABA,BRACELETE,BAURU,COSTA RICA
ESQUILO,JACA,BROCHE,JOINVILLE,EGITO
IGUANA,JABUTICABA,CABIDE,JUIZ DE FORA,FILIPINAS
FORMIGA,DAMASCO,BUZINA,CARUARU,GUATEMALA
GAIVOTA,MELANCIA,CAJADO,CAMPINA GRANDE,HONDURAS
JAVALI,PINHA,CALIBRADOR,CAXIAS DO SUL,IRAQUE
LAGARTA,PITANGA,GELADEIRA,FEIRA DE SANTANA,ISRAEL
PELICANO,ACEROLA,GRAVATA,MONTES CARLOS,MARROCOS
LULA,BERINJELA,FURADEIRA,RIO BRANCO,MALDIVAS
LEOPARDO,COCO,JARRA,BELOMONTE,PARAGUAI
URSO,CACAU,INGRESSO,GOVERNADOR VALADARES,PERU
TARTARUGA,GRAVIOLA,IMPRESSORA,NOVA FRIBURGO,REINO UNIDO
TOUPEIRA,GROSELHA,LACRE,ANGRA DOS REIS,TURQUIA
SAPO,JAMBO,LANCHEIRA,SAQUAREMA,UGANDA
SERPENTE,MARMELO,LIXEIRA,CATANDUVA,VATICANO
COBRA,NECTARINA,MEDALHA,FRANCA,VENEZEULA
RAPOSA,PERA,MICROFONE,DIADEMA,URUGUAI
RINOCERONTE,TAMARINDO,TIGELA,BAURU,TOGO
VEADO,UMBU,MOEDA,AMERICANA,HAITI
